districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_4	NA	AA	-19.9	-44.8
district_4	NA	AI	NA	NA
district_4	NA	ALL	3.4	-16.2
district_4	NA	AS	58.5	45.3
district_4	NA	EL	-17.1	-32.2
district_4	NA	ELO	-30.8	-39.4
district_4	NA	EO	11.7	-9.7
district_4	NA	FI	40.5	27.3
district_4	NA	FOS	-61.6	-52.6
district_4	NA	HI	-0.9	-20.7
district_4	NA	HOM	-24	-40
district_4	NA	MR	32.1	13.6
district_4	NA	PI	NA	NA
district_4	NA	RFP	25	-9.9
district_4	NA	SED	-14.9	-30.5
district_4	NA	SWD	-72.1	-94.2
district_4	NA	WH	27.2	9.4
district_4	school_3	AA	NA	NA
district_4	school_3	ALL	-0.9	-2.5
district_4	school_3	AS	NA	NA
district_4	school_3	EL	-15	-15.1
district_4	school_3	ELO	-24.9	-19.9
district_4	school_3	EO	5.4	3.5
district_4	school_3	FI	NA	NA
district_4	school_3	FOS	NA	NA
district_4	school_3	HI	-4	-7.1
district_4	school_3	HOM	NA	NA
district_4	school_3	MR	NA	NA
district_4	school_3	RFP	58.2	20.3
district_4	school_3	SED	-17.1	-15
district_4	school_3	SWD	-67.6	-73
district_4	school_3	WH	14.4	21.9
district_4	school_2	AA	-14.6	-59.3
district_4	school_2	AI	NA	NA
district_4	school_2	ALL	11.3	-23.3
district_4	school_2	AS	NA	NA
district_4	school_2	EL	-14.2	-44.1
district_4	school_2	ELO	-37.4	-63.8
district_4	school_2	EO	22.1	-15.9
district_4	school_2	FI	NA	NA
district_4	school_2	FOS	NA	NA
district_4	school_2	HI	7.4	-28.2
district_4	school_2	HOM	NA	NA
district_4	school_2	MR	NA	NA
district_4	school_2	PI	NA	NA
district_4	school_2	RFP	22.6	-12.9
district_4	school_2	SED	-5.9	-40.1
district_4	school_2	SWD	-78.8	-114.6
district_4	school_2	WH	33.8	3.3
district_4	school_1	AA	NA	NA
district_4	school_1	AI	NA	NA
district_4	school_1	ALL	-9.9	-14.9
district_4	school_1	AS	NA	NA
district_4	school_1	EL	-26.1	-26.1
district_4	school_1	ELO	-27.5	-25.6
district_4	school_1	EO	-3.9	-10.6
district_4	school_1	FI	NA	NA
district_4	school_1	FOS	NA	NA
district_4	school_1	HI	-15.9	-19.2
district_4	school_1	HOM	-41.5	-45.7
district_4	school_1	MR	NA	NA
district_4	school_1	RFP	-8.5	-31.7
district_4	school_1	SED	-32.5	-29.7
district_4	school_1	SWD	-60.1	-66.8
district_4	school_1	WH	24.9	10.8
