districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_9	NA	AA	NA	NA
district_9	NA	ALL	102.4	86.4
district_9	NA	AS	112.7	104.8
district_9	NA	EL	71.2	77.9
district_9	NA	ELO	-0.7	32.3
district_9	NA	EO	102.6	77.4
district_9	NA	FI	81.3	60.5
district_9	NA	FOS	NA	NA
district_9	NA	HI	72.1	40.6
district_9	NA	MR	107	81.7
district_9	NA	RFP	95	93.3
district_9	NA	SED	78.9	49.4
district_9	NA	SWD	38	16.7
district_9	NA	WH	89.5	64.4
district_9	school_1	ALL	103.8	82.4
district_9	school_1	AS	110.1	94.4
district_9	school_1	EL	70	70.8
district_9	school_1	ELO	26.9	33.5
district_9	school_1	EO	105.2	72.9
district_9	school_1	FI	NA	NA
district_9	school_1	HI	113	64.9
district_9	school_1	MR	107.2	76.2
district_9	school_1	RFP	89.2	88.3
district_9	school_1	SED	NA	NA
district_9	school_1	SWD	50.2	46.7
district_9	school_1	WH	76.6	53.9
district_9	school_2	AA	NA	NA
district_9	school_3	WH	119.4	84.9
district_9	school_3	SWD	67.9	49.5
district_9	school_3	SED	NA	NA
district_9	school_3	RFP	119.3	105.8
district_9	school_3	MR	124.5	113.8
district_9	school_3	HI	97.3	58.8
district_9	school_3	FI	NA	NA
district_9	school_3	EO	122.9	95.8
district_9	school_3	ELO	NA	NA
district_9	school_3	EL	111	99.8
district_9	school_3	AS	126.8	108
district_9	school_3	ALL	121.5	98.2
district_9	school_3	AA	NA	NA
district_9	school_2	WH	82.2	59.9
district_9	school_2	SWD	17.2	-17.5
district_9	school_2	SED	59.6	39.9
district_9	school_2	RFP	78.1	86.3
district_9	school_2	MR	96.9	65.6
district_9	school_2	HI	44.3	22.5
district_9	school_2	FOS	NA	NA
district_9	school_2	FI	NA	NA
district_9	school_2	EO	92.2	70.9
district_9	school_2	ELO	-38.8	24.3
district_9	school_2	EL	43.9	68.1
district_9	school_2	AS	108.9	109
district_9	school_2	ALL	94.2	83.4
