districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_8	school_09	EO	-83	-75.3
district_8	school_09	FI	NA	NA
district_8	school_09	HI	-102.3	-64.5
district_8	school_09	HOM	NA	NA
district_8	school_09	MR	NA	NA
district_8	school_09	PI	NA	NA
district_8	school_09	RFP	NA	NA
district_8	school_09	SED	-92.9	-74
district_8	school_09	SWD	-33.7	-60.2
district_8	school_09	WH	NA	NA
district_8	school_57	AA	NA	NA
district_8	school_57	AI	NA	NA
district_8	school_57	ALL	-44	-43.9
district_8	school_57	EL	-49.3	-42.8
district_8	school_57	ELO	-69.5	-52.5
district_8	school_57	EO	-20.5	-52.9
district_8	school_57	HI	-44.4	-45.3
district_8	school_57	HOM	-77.1	-68.6
district_8	school_57	MR	NA	NA
district_8	school_57	RFP	52.1	5.7
district_8	school_57	SED	-44.5	-43.3
district_8	school_57	SWD	-41.3	-27.6
district_8	school_57	WH	NA	NA
district_8	school_64	AA	-28.5	-26.5
district_8	school_64	AI	NA	NA
district_8	school_64	ALL	65.7	40.3
district_8	school_64	AS	83.9	63.2
district_8	school_64	EL	31.2	19.3
district_8	school_64	ELO	4.7	-10.8
district_8	school_64	EO	73.1	44.4
district_8	school_64	FI	NA	NA
district_8	school_64	HI	42.8	7
district_8	school_64	MR	78	53.6
district_8	school_64	PI	NA	NA
district_8	school_64	RFP	48.5	38.9
district_8	school_64	SED	18.5	3.5
district_8	school_64	SWD	-22.5	-26.9
district_8	school_64	WH	88.5	53.7
district_8	school_72	AA	NA	NA
district_8	school_72	ALL	-72.4	-52.9
district_8	school_72	EL	-77.9	-51.2
district_8	school_72	ELO	-88.4	-58.1
district_8	school_72	EO	-48.4	-64.5
district_8	school_72	FI	NA	NA
district_8	school_72	FOS	NA	NA
district_8	school_72	HI	-72.6	-50.2
district_8	school_72	HOM	NA	NA
district_8	school_72	MR	NA	NA
district_8	school_72	PI	NA	NA
district_8	school_72	RFP	-11.1	-7.3
district_8	school_72	SED	-76	-52.3
district_8	school_72	SWD	-105	-77.5
district_8	school_72	WH	NA	NA
district_8	school_17	AA	NA	NA
district_8	school_17	ALL	38.2	21.8
district_8	school_17	AS	29.3	31.9
district_8	school_17	EL	4.2	7.1
district_8	school_17	ELO	-31.9	-16.2
district_8	school_17	EO	58.8	31
district_8	school_17	FI	NA	NA
district_8	school_17	FOS	NA	NA
district_8	school_17	HI	0.3	-30.3
district_8	school_17	HOM	NA	NA
district_8	school_17	MR	NA	NA
district_8	school_17	PI	NA	NA
district_8	school_17	RFP	66.1	47.1
district_8	school_17	SED	1	-0.9
district_8	school_17	SWD	-33.3	-70.5
district_8	school_17	WH	73.9	39.5
district_8	school_46	AA	NA	NA
district_8	school_46	ALL	-4.5	10.4
district_8	school_46	AS	-0.7	14.7
district_8	school_46	EL	-4.4	12
district_8	school_46	ELO	-47	-12.3
district_8	school_46	EO	-54.9	-59.7
district_8	school_46	HI	-32.5	-43.9
district_8	school_46	HOM	NA	NA
district_8	school_46	MR	NA	NA
district_8	school_46	PI	NA	NA
district_8	school_46	RFP	54.2	45.5
district_8	school_46	SED	-8.2	8.8
district_8	school_46	SWD	-97.5	-83.5
district_8	school_46	WH	NA	NA
district_8	school_03	AA	NA	NA
district_8	school_03	ALL	-37.4	-48.3
district_8	school_03	AS	NA	NA
district_8	school_03	EL	-76.7	-84.4
district_8	school_03	ELO	-88.6	-102.2
district_8	school_03	EO	-25.7	-38.3
district_8	school_03	FI	NA	NA
district_8	school_03	FOS	NA	NA
district_8	school_03	HI	-58.2	-70.5
district_8	school_03	HOM	NA	NA
district_8	school_03	MR	NA	NA
district_8	school_03	PI	NA	NA
district_8	school_03	RFP	NA	NA
district_8	school_03	SED	-80	-94.6
district_8	school_03	SWD	-121.3	-159.9
district_8	school_03	WH	16.6	21
district_8	school_77	AA	-93.5	-107
district_8	school_77	ALL	-34.9	-52.5
district_8	school_77	AS	NA	NA
district_8	school_77	EL	-9.9	-20.3
district_8	school_77	ELO	NA	NA
district_8	school_77	EO	-39.7	-57.4
district_8	school_77	FI	NA	NA
district_8	school_77	FOS	NA	NA
district_8	school_77	HI	-62.8	-70.5
district_8	school_77	HOM	NA	NA
district_8	school_77	MR	-53.8	-75.8
district_8	school_77	PI	NA	NA
district_8	school_77	RFP	NA	NA
district_8	school_77	SED	-85.1	-95.9
district_8	school_77	SWD	-97.2	-106.5
district_8	school_77	WH	25.7	10.1
district_8	school_23	AA	-87.8	-76.3
district_8	school_23	AI	NA	NA
district_8	school_23	ALL	-22.3	-8.9
district_8	school_23	AS	12.3	29.5
district_8	school_23	EL	-28.3	-9.7
district_8	school_23	ELO	-58.3	-29.7
district_8	school_23	EO	-26.4	-30.1
district_8	school_23	FI	NA	NA
district_8	school_23	FOS	NA	NA
district_8	school_23	HI	-86.2	-76
district_8	school_23	HOM	NA	NA
district_8	school_23	MR	NA	NA
district_8	school_23	PI	NA	NA
district_8	school_23	RFP	50.2	42.1
district_8	school_23	SED	-24.7	-12.9
district_8	school_23	SWD	-117.2	-95.8
district_8	school_23	WH	NA	NA
district_8	school_66	AA	-86.4	-84.3
district_8	school_66	ALL	-66.6	-64.8
district_8	school_66	AS	NA	NA
district_8	school_66	EL	-61.7	-59.7
district_8	school_66	ELO	-76.6	-67.3
district_8	school_66	EO	-69.4	-69.5
district_8	school_66	FI	-21.9	-34
district_8	school_66	FOS	NA	NA
district_8	school_66	HI	-70	-70.2
district_8	school_66	HOM	NA	NA
district_8	school_66	MR	NA	NA
district_8	school_66	PI	NA	NA
district_8	school_66	RFP	NA	NA
district_8	school_66	SED	-70.6	-65.4
district_8	school_66	SWD	-102.6	-82.3
district_8	school_66	WH	NA	NA
district_8	school_47	AA	-80.3	-56.1
district_8	school_47	ALL	-54.9	-30.3
district_8	school_47	AS	NA	NA
district_8	school_47	EL	NA	NA
district_8	school_47	ELO	NA	NA
district_8	school_47	EO	-59	-31.7
district_8	school_47	FI	NA	NA
district_8	school_47	FOS	NA	NA
district_8	school_47	HI	NA	NA
district_8	school_47	HOM	NA	NA
district_8	school_47	MR	NA	NA
district_8	school_47	PI	NA	NA
district_8	school_47	SED	-65.9	-40
district_8	school_47	SWD	NA	NA
district_8	school_47	WH	NA	NA
district_8	school_21	AA	NA	NA
district_8	school_21	ALL	-51.2	-63
district_8	school_21	AS	NA	NA
district_8	school_21	EL	-93.1	-96.6
district_8	school_21	ELO	-108.8	-108.9
district_8	school_21	EO	-9.8	-24.4
district_8	school_21	FI	NA	NA
district_8	school_21	FOS	NA	NA
district_8	school_21	HI	-81.6	-91.3
district_8	school_21	HOM	NA	NA
district_8	school_21	MR	NA	NA
district_8	school_21	RFP	-30.1	-48.7
district_8	school_21	SED	-94.3	-98.7
district_8	school_21	SWD	-103.3	-123.1
district_8	school_21	WH	51.7	40
district_8	school_65	AA	NA	NA
district_8	school_65	ALL	40.3	36.5
district_8	school_65	AS	36.4	44
district_8	school_65	EL	29.3	32.3
district_8	school_65	ELO	-14.3	6.1
district_8	school_65	EO	39.3	33.6
district_8	school_65	FI	NA	NA
district_8	school_65	FOS	NA	NA
district_8	school_65	HI	54.4	24.1
district_8	school_65	MR	37.3	17.5
district_8	school_65	PI	NA	NA
district_8	school_65	RFP	73.8	58.9
district_8	school_65	SED	19.5	19.8
district_8	school_65	SWD	-68.2	-39.9
district_8	school_65	WH	56.1	34.3
district_8	school_81	AA	NA	NA
district_8	school_81	ALL	17.2	3.3
district_8	school_81	AS	36.9	34.9
district_8	school_81	EL	12.9	10.6
district_8	school_81	ELO	-12.6	-12.1
district_8	school_81	EO	5.5	-33.2
district_8	school_81	FI	NA	NA
district_8	school_81	HI	-24	-75.7
district_8	school_81	HOM	NA	NA
district_8	school_81	MR	NA	NA
district_8	school_81	PI	NA	NA
district_8	school_81	RFP	103.7	91.4
district_8	school_81	SED	-0.3	-5.7
district_8	school_81	SWD	-64.5	-102.6
district_8	school_81	WH	NA	NA
district_8	school_22	AA	NA	NA
district_8	school_22	AI	NA	NA
district_8	school_22	ALL	-9.5	8.8
district_8	school_22	AS	-8.5	17.9
district_8	school_22	EL	-12.2	19.8
district_8	school_22	ELO	-44.2	-3.5
district_8	school_22	EO	-9.3	-4.3
district_8	school_22	FI	NA	NA
district_8	school_22	HI	-22.9	-5.5
district_8	school_22	HOM	NA	NA
district_8	school_22	MR	NA	NA
district_8	school_22	PI	NA	NA
district_8	school_22	RFP	62.5	74.3
district_8	school_22	SED	-18.5	1.2
district_8	school_22	SWD	-97.3	-96
district_8	school_22	WH	35.2	49.7
district_8	school_25	AA	NA	NA
district_8	school_25	AI	NA	NA
district_8	school_25	ALL	68	57.2
district_8	school_25	AS	51.5	56.8
district_8	school_25	EL	38.1	32.9
district_8	school_25	ELO	NA	NA
district_8	school_25	EO	68.4	59.9
district_8	school_25	FI	NA	NA
district_8	school_25	HI	32.2	12.7
district_8	school_25	MR	NA	NA
district_8	school_25	RFP	57	44.2
district_8	school_25	SED	10.7	2.8
district_8	school_25	SWD	-21.5	-30.8
district_8	school_25	WH	83.1	70
district_8	school_36	AA	-90.7	-69.5
district_8	school_36	ALL	-41.7	-29.1
district_8	school_36	AS	NA	NA
district_8	school_36	EL	-58.1	-48.4
district_8	school_36	ELO	-62.9	-50.9
district_8	school_36	EO	-33.8	-19.2
district_8	school_36	FI	NA	NA
district_8	school_36	FOS	NA	NA
district_8	school_36	HI	-47.9	-40.7
district_8	school_36	HOM	NA	NA
district_8	school_36	MR	NA	NA
district_8	school_36	RFP	NA	NA
district_8	school_36	SED	-65.5	-46.2
district_8	school_36	SWD	-30.3	19.3
district_8	school_36	WH	23.1	26.6
district_8	school_33	AA	NA	NA
district_8	school_33	AI	NA	NA
district_8	school_33	ALL	35.3	19.4
district_8	school_33	AS	NA	NA
district_8	school_33	EL	-40.1	-53.9
district_8	school_33	ELO	-52.6	-52.6
district_8	school_33	EO	38.2	23.3
district_8	school_33	FI	NA	NA
district_8	school_33	HI	-11.9	-11.7
district_8	school_33	HOM	NA	NA
district_8	school_33	MR	74.6	42.5
district_8	school_33	PI	NA	NA
district_8	school_33	RFP	NA	NA
district_8	school_33	SED	-37.8	-49.3
district_8	school_33	SWD	-50.2	-63.2
district_8	school_33	WH	48.8	33.7
district_8	school_30	AA	NA	NA
district_8	school_30	ALL	-64.4	-75.5
district_8	school_30	AS	-8.3	-8.3
district_8	school_30	EL	-77.9	-89.3
district_8	school_30	ELO	-93.9	-96.9
district_8	school_30	EO	-52.9	-60.4
district_8	school_30	FI	-1.9	-24.1
district_8	school_30	FOS	NA	NA
district_8	school_30	HI	-85.8	-98.4
district_8	school_30	HOM	NA	NA
district_8	school_30	MR	NA	NA
district_8	school_30	RFP	4.6	-50
district_8	school_30	SED	-75.7	-85.4
district_8	school_30	SWD	-119	-115.8
district_8	school_30	WH	NA	NA
district_8	school_14	AA	NA	NA
district_8	school_14	ALL	11.4	20.3
district_8	school_14	AS	-0.1	30.3
district_8	school_14	EL	-20.7	-0.7
district_8	school_14	ELO	-54.2	-22.3
district_8	school_14	EO	32.6	32.6
district_8	school_14	FI	NA	NA
district_8	school_14	HI	-49.2	-59.5
district_8	school_14	HOM	NA	NA
district_8	school_14	MR	NA	NA
district_8	school_14	PI	NA	NA
district_8	school_14	RFP	38	37.1
district_8	school_14	SED	-24	-12.3
district_8	school_14	SWD	-47.6	-43.7
district_8	school_14	WH	44.5	49.6
district_8	school_44	AA	NA	NA
district_8	school_44	AI	NA	NA
district_8	school_44	ALL	-88.2	-80.4
district_8	school_44	AS	NA	NA
district_8	school_44	EL	-88.4	-80.2
district_8	school_44	ELO	-100.3	-87.1
district_8	school_44	EO	-104.5	-100
district_8	school_44	FI	NA	NA
district_8	school_44	FOS	NA	NA
district_8	school_44	HI	-86.4	-77.3
district_8	school_44	HOM	-94.6	-91.3
district_8	school_44	PI	NA	NA
district_8	school_44	RFP	-3.1	-30.5
district_8	school_44	SED	-85.8	-77.5
district_8	school_44	SWD	-135.1	-131.6
district_8	school_44	WH	NA	NA
district_8	school_75	AA	-114.8	-107.7
district_8	school_75	ALL	-57.1	-48.1
district_8	school_75	AS	-27.2	-3.1
district_8	school_75	EL	-54	-37.1
district_8	school_75	ELO	-74.7	-48.4
district_8	school_75	EO	-69.2	-79.7
district_8	school_75	FI	22.9	-16
district_8	school_75	HI	-72	-61.8
district_8	school_75	HOM	-73.1	-75.3
district_8	school_75	MR	NA	NA
district_8	school_75	RFP	30.9	8.4
district_8	school_75	SED	-56	-46
district_8	school_75	SWD	-135.7	-128.6
district_8	school_75	WH	NA	NA
district_8	school_39	AA	NA	NA
district_8	school_39	ALL	-18.5	1.5
district_8	school_39	AS	-14.6	12.9
district_8	school_39	EL	-18.8	13.1
