districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_3	NA	AA	-82.9	-102.5
district_3	NA	AI	-62.4	-76.5
district_3	NA	ALL	-48.2	-69.6
district_3	NA	AS	-26.3	-45
district_3	NA	EL	-62	-79.8
district_3	NA	ELO	-121.2	-128.2
district_3	NA	EO	-46.7	-67.8
district_3	NA	FI	11.4	-8.4
district_3	NA	FOS	-85.9	-97.4
district_3	NA	HI	-54	-76.2
district_3	NA	HOM	-86.7	-105.5
district_3	NA	MR	-24.7	-48.7
district_3	NA	PI	-38.9	-55
district_3	NA	RFP	-10.2	-37.5
district_3	NA	SED	-54.8	-76.1
district_3	NA	SWD	-132.3	-151.1
district_3	NA	WH	-4.7	-25.1
district_3	school_49	AA	-122.5	-110.2
district_3	school_49	AI	NA	NA
district_3	school_49	ALL	-75.7	-81.3
district_3	school_49	AS	-61.6	-62.4
district_3	school_49	EL	-75.2	-76.9
district_3	school_49	ELO	-129.1	-113.7
district_3	school_49	EO	-77.3	-86.2
district_3	school_49	FOS	NA	NA
district_3	school_49	HI	-78.4	-86.4
district_3	school_49	HOM	-44.4	-73.8
district_3	school_49	MR	NA	NA
district_3	school_49	PI	NA	NA
district_3	school_49	RFP	-24.9	-43
district_3	school_49	SED	-75.7	-81.3
district_3	school_49	SWD	-168.7	-164.1
district_3	school_49	WH	-39.3	-67.9
district_3	school_78	AA	10.3	-17.7
district_3	school_78	AI	NA	NA
district_3	school_78	ALL	-11.5	-28.9
district_3	school_78	AS	39.1	47.6
district_3	school_78	EL	-37.4	-49.3
district_3	school_78	ELO	-109.3	-112.9
district_3	school_78	EO	5.7	-14.8
district_3	school_78	FOS	NA	NA
district_3	school_78	HI	-19.1	-36
district_3	school_78	HOM	-32.2	-60.6
district_3	school_78	MR	NA	NA
district_3	school_78	PI	NA	NA
district_3	school_78	RFP	0.8	-15.5
district_3	school_78	SED	-21.8	-37.4
district_3	school_78	SWD	-95.3	-110.3
district_3	school_78	WH	45.4	28.7
district_3	school_41	AA	-110.5	-119.2
district_3	school_41	ALL	-71.5	-79.9
district_3	school_41	AS	NA	NA
district_3	school_41	EL	-69.2	-71.7
district_3	school_41	ELO	-109.8	-99.3
district_3	school_41	EO	-72.9	-84.7
district_3	school_41	FOS	NA	NA
district_3	school_41	HI	-64.4	-71.5
district_3	school_41	HOM	-128.5	-133.4
district_3	school_41	MR	NA	NA
district_3	school_41	PI	NA	NA
district_3	school_41	RFP	-10	-31.4
district_3	school_41	SED	-72.6	-80.8
district_3	school_41	SWD	-136	-160.9
district_3	school_41	WH	-41.6	-48
district_3	school_39	AA	-86.8	-110.1
district_3	school_39	AI	NA	NA
district_3	school_39	ALL	-75	-90.1
district_3	school_39	AS	-38	-54.9
district_3	school_39	EL	-79.8	-88
district_3	school_39	ELO	-122.1	-124.3
district_3	school_39	EO	-66.8	-94
district_3	school_39	FI	NA	NA
district_3	school_39	FOS	NA	NA
district_3	school_39	HI	-81.4	-95.4
district_3	school_39	HOM	-79.2	-121.7
district_3	school_39	MR	NA	NA
district_3	school_39	PI	NA	NA
district_3	school_39	RFP	-17.2	-33.9
district_3	school_39	SED	-75.5	-90.5
district_3	school_39	SWD	-137.9	-154.8
district_3	school_39	WH	NA	NA
district_3	school_34	AA	-64.8	-71.8
district_3	school_34	ALL	-33.1	-39.7
district_3	school_34	AS	-1.8	-20.5
district_3	school_34	EL	-31.6	-34.9
district_3	school_34	ELO	-94	-82.9
district_3	school_34	EO	-48.3	-60.3
district_3	school_34	FOS	NA	NA
district_3	school_34	HI	-40.5	-42.8
district_3	school_34	HOM	-55.2	-67.9
district_3	school_34	MR	NA	NA
district_3	school_34	PI	NA	NA
district_3	school_34	RFP	22.7	6.3
district_3	school_34	SED	-33.2	-40
district_3	school_34	SWD	-110.5	-124.2
district_3	school_34	WH	NA	NA
district_3	school_80	AA	-107.6	-161.2
district_3	school_80	AI	NA	NA
district_3	school_80	ALL	-77.5	-139.8
district_3	school_80	AS	-49.3	-116.4
district_3	school_80	EL	-95.5	-159.6
