districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_2	NA	AA	18.3	-5.8
district_2	NA	AI	47.2	69.3
district_2	NA	ALL	80.2	94.1
district_2	NA	AS	91.7	112.1
district_2	NA	EL	25	50.3
district_2	NA	ELO	-59.3	-14.2
district_2	NA	EO	79.7	85.2
district_2	NA	FI	39.5	31.9
district_2	NA	FOS	NA	NA
district_2	NA	HI	-18.3	-41.1
district_2	NA	HOM	NA	NA
district_2	NA	MR	63.5	68.9
district_2	NA	PI	37.7	15.1
district_2	NA	RFP	56.1	74.2
district_2	NA	SED	-17.9	-29.6
district_2	NA	SWD	-14.1	-16.2
district_2	NA	WH	64.4	62.9
district_2	school_25	AA	NA	NA
district_2	school_25	AI	NA	NA
district_2	school_25	ALL	90.3	121.6
district_2	school_25	AS	93.8	128.2
district_2	school_25	EL	9.7	61.6
district_2	school_25	ELO	-49.5	11
district_2	school_25	EO	95.5	116.4
district_2	school_25	FI	48.2	33.6
district_2	school_25	FOS	NA	NA
district_2	school_25	HI	11.7	-4
district_2	school_25	HOM	NA	NA
district_2	school_25	MR	66.6	97.6
district_2	school_25	PI	NA	NA
district_2	school_25	RFP	51.5	97.9
district_2	school_25	SED	37.6	29.5
district_2	school_25	SWD	-9.1	-6.7
district_2	school_25	WH	82.7	99.2
district_2	school_10	AA	NA	NA
district_2	school_10	ALL	72.4	85.3
district_2	school_10	AS	82	98.1
district_2	school_10	EL	24.8	46.4
district_2	school_10	ELO	-88.7	-39.3
district_2	school_10	EO	72.4	81.1
district_2	school_10	FI	NA	NA
district_2	school_10	HI	-44.6	-71.1
district_2	school_10	MR	44.5	55.1
district_2	school_10	RFP	68.3	80.4
district_2	school_10	SED	-61.5	-72.3
district_2	school_10	SWD	-72.5	-60.7
district_2	school_10	WH	56.9	49.1
district_2	school_13	AA	NA	NA
district_2	school_13	ALL	0.9	16.9
district_2	school_13	AS	21.7	51.1
district_2	school_13	EL	-20	9
district_2	school_13	ELO	-109.7	-62.2
district_2	school_13	EO	4.7	-3.3
district_2	school_13	FI	NA	NA
district_2	school_13	FOS	NA	NA
district_2	school_13	HI	-83.3	-74.1
district_2	school_13	MR	NA	NA
district_2	school_13	PI	NA	NA
district_2	school_13	RFP	24	43.9
district_2	school_13	SED	-76.6	-61.5
district_2	school_13	SWD	-73.8	-66.2
district_2	school_13	WH	40	44.6
district_2	school_16	ALL	85.8	92.6
district_2	school_16	AS	89.6	96.8
district_2	school_16	EL	33.3	60.9
district_2	school_16	ELO	-54.1	11.6
district_2	school_16	EO	87.4	95.3
district_2	school_16	FI	NA	NA
district_2	school_16	HI	NA	NA
